n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score_1,optimal_score_1,n_claims_1,Majority_time_1,Majority_score_perc_1,Majority_score_1,TruthFinder_time_1,TruthFinder_score_perc_1,TruthFinder_score_1,TwoEstimates_time_1,TwoEstimates_score_perc_1,TwoEstimates_score_1,ThreeEstimates_time_1,ThreeEstimates_score_perc_1,ThreeEstimates_score_1,optimal_perc_score_2,optimal_score_2,n_claims_2,Majority_time_2,Majority_score_perc_2,Majority_score_2,TruthFinder_time_2,TruthFinder_score_perc_2,TruthFinder_score_2,TwoEstimates_time_2,TwoEstimates_score_perc_2,TwoEstimates_score_2,ThreeEstimates_time_2,ThreeEstimates_score_perc_2,ThreeEstimates_score_2,optimal_perc_score_3,optimal_score_3,n_claims_3,Majority_time_3,Majority_score_perc_3,Majority_score_3,TruthFinder_time_3,TruthFinder_score_perc_3,TruthFinder_score_3,TwoEstimates_time_3,TwoEstimates_score_perc_3,TwoEstimates_score_3,ThreeEstimates_time_3,ThreeEstimates_score_perc_3,ThreeEstimates_score_3,Majority_time,Majority_score_perc,Majority_score,TruthFinder_time,TruthFinder_score_perc,TruthFinder_score,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,ThreeEstimates_time,ThreeEstimates_score_perc,ThreeEstimates_score,optimal_perc_score,optimal_score,n_claims
100,500,5,TruncExponential,TruncPareto,F_TruncPareto,TruncExponential,0.988,494,12543,0.0666699999999309,0.006,3,0.5123922910001966,0.002,1,1.9718266249999488,0.48,240,3.6866677499999696,0.03,15,0.928,464,11032,0.0654307910000397,0.0,0,0.4798397499999964,0.0,0,1.8493036669999583,0.484,242,3.30372029199998,0.036,18,0.966,483,10943,0.0646912920000204,0.006,3,0.4781324580000046,0.004,2,1.86005775000001,0.508,254,3.323740791999967,0.05,25,0.06559736099999701,0.004,2.0,0.4901214996667325,0.002,1.0,1.8937293473333057,0.49066666666666664,245.33333333333334,3.438042944666639,0.03866666666666667,19.333333333333332,0.9606666666666666,480.3333333333333,11506.0
100,500,5,TruncExponential,TruncPareto,F_TruncExponential,TruncExponential,0.948,474,10556,0.0718066669999188,0.002,1,0.5100745830000051,0.002,1,1.894488833000196,0.554,277,3.203076291000116,0.022,11,0.926,463,11533,0.0653351669999438,0.0,0,0.4571773339999936,0.0,0,1.745851540999979,0.564,282,3.115214958000024,0.034,17,0.948,474,11425,0.0646179169999641,0.0,0,0.4551829170000019,0.0,0,1.7317740839999942,0.568,284,3.102666167000052,0.026,13,0.06725325033327556,0.0006666666666666666,0.3333333333333333,0.47414494466666685,0.0006666666666666666,0.3333333333333333,1.7907048193333897,0.5619999999999999,281.0,3.140319138666731,0.027333333333333334,13.666666666666666,0.9406666666666667,470.3333333333333,11171.333333333334
100,500,5,TruncExponential,TruncPareto,Uniform,TruncExponential,0.984,492,12123,0.0687224999999216,0.0,0,0.4217240420000507,0.0,0,1.5166919170001163,0.792,396,2.6953062499999305,0.008,4,0.982,491,12072,0.0647646249999525,0.002,1,0.4015186249999942,0.002,1,1.4519476250000023,0.79,395,2.6034825420000516,0.002,1,0.988,494,12210,0.0646763749999763,0.0,0,0.4024507499999572,0.0,0,1.470868833000054,0.778,389,2.624253500000009,0.008,4,0.06605449999995013,0.0006666666666666666,0.3333333333333333,0.4085644723333341,0.0006666666666666666,0.3333333333333333,1.4798361250000578,0.7866666666666667,393.3333333333333,2.6410140973333305,0.006000000000000001,3.0,0.9846666666666666,492.3333333333333,12135.0
100,500,5,TruncExponential,TruncPareto,TruncExponential,TruncExponential,0.978,489,10388,0.0655441670000982,0.002,1,0.3765714170001502,0.0,0,1.2950818330000402,0.936,468,3.4797470000000885,0.0,0,0.956,478,10516,0.0648573329999635,0.0,0,0.3650557079999998,0.0,0,1.2777874999999312,0.908,454,8.923134333000007,0.93,465,0.944,472,11759,0.0643109160000676,0.0,0,0.3649159999999938,0.0,0,1.2536422079999738,0.896,448,8.9346354999999,0.006,3,0.06490413866670976,0.0006666666666666666,0.3333333333333333,0.36884770833338126,0.0,0.0,1.2755038469999818,0.9133333333333334,456.6666666666667,7.112505610999999,0.312,156.0,0.9593333333333334,479.6666666666667,10887.666666666666
100,500,5,TruncExponential,TruncPareto,TruncPareto,TruncExponential,0.978,489,13911,0.0672912089999044,0.0,0,0.378453084000057,0.0,0,1.3222982500001308,0.944,472,2.345175457999858,0.0,0,0.946,473,12169,0.0646476670000311,0.0,0,0.3613262909999548,0.0,0,2.441461416999914,0.938,469,7.646452541000031,0.028,14,0.92,460,11915,0.0649316249999856,0.0,0,0.3571164159999398,0.0,0,1.218425916000001,0.9,450,107.08802908300004,0.0,0,0.06562350033330704,0.0,0.0,0.36563193033331726,0.0,0.0,1.6607285276666819,0.9273333333333333,463.6666666666667,39.02655236066664,0.009333333333333334,4.666666666666667,0.948,474.0,12665.0
100,500,5,TruncPareto,F_TruncPareto,F_TruncPareto,TruncExponential,1.0,500,6346,0.062838124999871,1.0,500,0.36348699999985,1.0,500,1.271418625000024,0.216,108,6.80439387499996,0.882,441,1.0,500,7039,0.0644119579999369,1.0,500,0.3529481670000223,1.0,500,2.3232476670000324,0.294,147,104.593363792,1.0,500,1.0,500,5463,0.0632869159999245,0.998,499,0.3539421250000032,0.998,499,2.3574173330000576,0.276,138,106.8899510409999,0.998,499,0.0635123329999108,0.9993333333333334,499.6666666666667,0.3567924306666252,0.9993333333333334,499.6666666666667,1.984027875000038,0.262,131.0,72.76256956933328,0.96,480.0,1.0,500.0,6282.666666666667
100,500,5,TruncPareto,F_TruncPareto,F_TruncExponential,TruncExponential,1.0,500,5949,0.0650407919999906,0.998,499,0.3537988749999385,0.998,499,2.9111287919999995,0.296,148,107.52054312500012,0.998,499,1.0,500,5951,0.0641566250000096,0.998,499,0.3776069589999906,0.998,499,1.3346508749999657,0.1,50,9.387366625000029,0.95,475,1.0,500,6309,0.0632895420001204,1.0,500,0.3653383749999648,1.0,500,1.2191385829999035,0.25,125,106.3341633330001,1.0,500,0.06416231966670687,0.9986666666666667,499.3333333333333,0.36558140299996467,0.9986666666666667,499.3333333333333,1.821639416666623,0.21533333333333335,107.66666666666667,74.41402436100009,0.9826666666666667,491.3333333333333,1.0,500.0,6069.666666666667
100,500,5,TruncPareto,F_TruncPareto,Uniform,TruncExponential,1.0,500,5617,0.0634162500000456,0.998,499,0.3582375419998698,1.0,500,2.3526352090000273,0.182,91,108.68431233299998,0.182,91,1.0,500,5623,0.0639672089999976,0.998,499,0.3516204999999672,0.998,499,2.31736699999999,0.184,92,104.59819258300011,0.19,95,1.0,500,6576,0.0632996250001269,1.0,500,0.3445858329998827,1.0,500,1.7057133329999488,0.24,120,101.27671291699994,1.0,500,0.0635610280000567,0.9986666666666667,499.3333333333333,0.35148129166657327,0.9993333333333334,499.6666666666667,2.1252385139999888,0.20199999999999999,101.0,104.85307261100002,0.4573333333333333,228.66666666666666,1.0,500.0,5938.666666666667
100,500,5,TruncPareto,F_TruncPareto,TruncExponential,TruncExponential,1.0,500,6205,0.0766392909999922,1.0,500,0.4356743329999517,1.0,500,57.58527912499994,0.252,126,106.20313295899996,1.0,500,1.0,500,6802,0.0638077500000235,1.0,500,0.3485349170000518,1.0,500,2.3007960410000123,0.166,83,103.43256158300004,1.0,500,1.0,500,6744,0.0631792090000544,0.996,498,0.3459051669999553,0.994,497,1.7168865419998838,0.16,80,102.05162462499992,0.16,80,0.06787541666669004,0.9986666666666667,499.3333333333333,0.37670480566665293,0.9979999999999999,499.0,20.53432056933328,0.19266666666666668,96.33333333333333,103.89577305566665,0.7200000000000001,360.0,1.0,500.0,6583.666666666667
100,500,5,TruncPareto,F_TruncPareto,TruncPareto,TruncExponential,1.0,500,5784,0.070887667000079,1.0,500,0.3736200839998673,1.0,500,54.03185204200008,0.366,183,99.27648825000006,1.0,500,1.0,500,5368,0.0631898750000345,1.0,500,0.3366026250000686,1.0,500,51.686767416000066,0.342,171,95.23063054199996,0.998,499,1.0,500,6375,0.0639066669998555,0.998,499,0.3361865829999715,0.998,499,52.739907499999845,0.318,159,97.09017070799996,0.998,499,0.065994736333323,0.9993333333333334,499.6666666666667,0.3488030973333025,0.9993333333333334,499.6666666666667,52.819508985999995,0.342,171.0,97.1990965,0.9986666666666667,499.3333333333333,1.0,500.0,5842.333333333333
100,500,5,TruncPareto,F_TruncExponential,F_TruncPareto,TruncExponential,1.0,500,7735,0.065293333999989,0.98,490,0.431281207999973,0.978,489,1.612497957999949,0.02,10,4.339280457999848,0.984,492,1.0,500,6625,0.0643314170001758,0.988,494,0.4141235410002082,0.992,496,1.4955182920000425,0.032,16,15.840051541999856,0.094,47,1.0,500,6695,0.0633230830001139,0.996,498,0.3930631670000366,0.996,498,1.4136227500000589,0.114,57,13.7772746669998,0.93,465,0.06431594466675956,0.988,494.0,0.4128226386667393,0.9886666666666667,494.3333333333333,1.5072130000000168,0.05533333333333334,27.666666666666668,11.318868888999836,0.6693333333333333,334.6666666666667,1.0,500.0,7018.333333333333
100,500,5,TruncPareto,F_TruncExponential,F_TruncExponential,TruncExponential,1.0,500,5563,0.066391084000088,0.998,499,0.3814086659999702,0.998,499,1.314671750000116,0.162,81,10.515931959,0.138,69,1.0,500,5991,0.0644286669999019,0.998,499,0.3833533750000697,0.998,499,1.358398207999926,0.106,53,7.182996332999892,0.358,179,0.998,499,6312,0.0636139579999053,0.986,493,0.3912371659998825,0.986,493,1.4202544160000343,0.058,29,6.293007540999952,0.194,97,0.0648112363332984,0.9940000000000001,497.0,0.38533306899997416,0.9940000000000001,497.0,1.3644414580000255,0.10866666666666668,54.333333333333336,7.997311944333281,0.22999999999999998,115.0,0.9993333333333334,499.6666666666667,5955.333333333333
100,500,5,TruncPareto,F_TruncExponential,Uniform,TruncExponential,1.0,500,6107,0.0650115000000823,0.972,486,0.3916471659999843,0.974,487,1.346281541000053,0.086,43,2.420722583999805,0.966,483,1.0,500,6235,0.0647272920000432,0.984,492,0.3738984579999851,0.992,496,1.2944256250000308,0.098,49,11.459171250000054,0.07,35,1.0,500,5159,0.063030499999968,0.978,489,0.3643121250001968,0.974,487,1.2517508340001768,0.138,69,29.276426165999965,0.974,487,0.06425643066669784,0.9780000000000001,489.0,0.37661924966672206,0.98,490.0,1.297486000000087,0.10733333333333334,53.666666666666664,14.38543999999994,0.6699999999999999,335.0,1.0,500.0,5833.666666666667
100,500,5,TruncPareto,F_TruncExponential,TruncExponential,TruncExponential,1.0,500,6171,0.0645417079999788,0.996,498,0.3581857499998477,0.996,498,1.210056833999943,0.176,88,106.906643583,0.138,69,1.0,500,5924,0.0638998330000504,0.978,489,0.3574297909999586,0.974,487,1.2029462079999576,0.178,89,5.33203125,0.828,414,1.0,500,6057,0.0625170000000707,0.992,496,0.3471905000001243,0.994,497,2.3213056249999227,0.098,49,103.50543749999996,0.99,495,0.0636528470000333,0.9886666666666667,494.3333333333333,0.3542686803333102,0.988,494.0,1.578102888999941,0.15066666666666664,75.33333333333333,71.91470411099999,0.652,326.0,1.0,500.0,6050.666666666667
100,500,5,TruncPareto,F_TruncExponential,TruncPareto,TruncExponential,1.0,500,6123,0.0655318330000227,0.978,489,0.3647514580000006,0.982,491,1.2415598330001103,0.15,75,4.391821916999788,0.168,84,1.0,500,6875,0.0638469579998854,0.984,492,0.3566551250000884,0.986,493,1.2154370840000863,0.12,60,6.456282957999974,0.842,421,1.0,500,6048,0.0622176669999134,0.978,489,0.3424505000000408,0.978,489,1.1655024159999812,0.132,66,5.166796125000019,0.174,87,0.0638654859999405,0.98,490.0,0.3546190276667099,0.9819999999999999,491.0,1.207499777666726,0.134,67.0,5.338300333333261,0.39466666666666667,197.33333333333334,1.0,500.0,6348.666666666667
100,500,5,TruncPareto,Uniform,F_TruncPareto,TruncExponential,0.998,499,6841,0.0634667919998719,0.612,306,0.4617725830000836,0.612,306,1.819024958,0.1,50,3.206878292000056,0.56,280,0.998,499,7293,0.0640492080001422,0.688,344,0.4511294159999579,0.69,345,1.7109801250001055,0.1,50,3.082480291000138,0.65,325,1.0,500,6400,0.0623943329999292,0.724,362,0.4346854580001036,0.728,364,1.6387267499999325,0.106,53,2.941183416000058,0.712,356,0.06330344433331443,0.6746666666666666,337.3333333333333,0.4491958190000484,0.6766666666666667,338.3333333333333,1.7229106110000127,0.102,51.0,3.076847333000084,0.6406666666666666,320.3333333333333,0.9986666666666667,499.3333333333333,6844.666666666667
100,500,5,TruncPareto,Uniform,F_TruncExponential,TruncExponential,1.0,500,6552,0.0653282499999932,0.576,288,0.4379695420000189,0.594,297,1.636724250000043,0.172,86,3.1094184169999153,0.568,284,0.996,498,6041,0.0638734159999785,0.468,234,0.4293472089998431,0.486,243,1.6019978330000413,0.188,94,2.869131500000094,0.424,212,0.998,499,6836,0.0619497079999291,0.668,334,0.414374749999979,0.658,329,1.5524113749997923,0.18,90,2.7757254999999077,0.672,336,0.06371712466663361,0.5706666666666668,285.3333333333333,0.42723050033328036,0.5793333333333334,289.6666666666667,1.5970444859999589,0.18000000000000002,90.0,2.918091805666639,0.5546666666666668,277.3333333333333,0.9979999999999999,499.0,6476.333333333333
100,500,5,TruncPareto,Uniform,Uniform,TruncExponential,0.998,499,5775,0.0649120410000705,0.626,313,0.3939037499999358,0.592,296,1.4462927909999053,0.376,188,2.663183375000017,0.64,320,0.998,499,6903,0.0636384160000034,0.72,360,0.3839060000000245,0.724,362,1.370701583000027,0.27,135,2.4702190830000745,0.704,352,0.994,497,6574,0.0614908340000965,0.534,267,0.3762916670000322,0.546,273,1.3463824169998588,0.39,195,2.420076999999992,0.52,260,0.06334709700005679,0.6266666666666667,313.3333333333333,0.3847004723333309,0.6206666666666666,310.3333333333333,1.3877922636665971,0.3453333333333333,172.66666666666666,2.5178264860000277,0.6213333333333333,310.6666666666667,0.9966666666666667,498.3333333333333,6417.333333333333
100,500,5,TruncPareto,Uniform,TruncExponential,TruncExponential,0.998,499,5560,0.0665736660000675,0.518,259,0.3717187079998894,0.524,262,1.2743478330000926,0.41,205,2.290560791999951,0.52,260,1.0,500,7396,0.065152166999951,0.678,339,0.3669117920001099,0.694,347,1.261259040999903,0.458,229,2.27147008299994,0.74,370,1.0,500,6689,0.0614624589998129,0.586,293,0.3494296250000843,0.588,294,1.2204319579998355,0.382,191,2.1883637920000183,0.644,322,0.06439609733327713,0.594,297.0,0.3626867083333612,0.602,301.0,1.2520129439999437,0.4166666666666667,208.33333333333334,2.2501315556666364,0.6346666666666666,317.3333333333333,0.9993333333333334,499.6666666666667,6548.333333333333
